User,Bot
then they're worth every penny.,you might want to buy a pair.
"no, i couldn't make it.",you missed a really good game.
would you like to go on a blind date?,you must be joking.
you'd better buy your ticket now.,you must be kidding.
i have only a few friends.,you must be lonely. i will share my friends with you.
"but, mom, i'm not dirty.",you need a bath every day.
but i need something that's reliable.,you need a car with low mileage.
yikes! who can remember all that?,you need to get a lot of lessons when you're really young.
"when i started to cross the street, the white walk sign was blinking.",you need to walk faster.
i agree.,you never know what might happen on these freeways.
i used all my savings on this one company.,you put all your eggs into one basket.
i have no idea. all of a sudden i heard your siren.,you rolled through that stop sign back there.
i'm getting married.,"you should be happy, not worried."
i think they do.,you should bring some wipes with you.
but that's what pockets are for.,you should carry them in a purse.
"no, the white walk sign was blinking.",you should fight that ticket. i'll be your witness.
i sure am.,you should go to bed.
i was unable to make it.,you should have been there. it was intense.
"no, i didn't.","you should have, but have you seen any movies lately?"
i'm so full i'm going to burst.,you should loosen your belt.
i injured my back one time just by sneezing.,you should see a doctor.
i toss and turn all night.,you should stop drinking coffee.
i type too much.,you should take a break.
"i'm sure i'll like it, too.",you should try riding a mule on a trail to the bottom.
i'm going to take a nap.,you should unplug the phone.
i think my nose was bleeding.,you should wet your shirt immediately.
my pants have a hole in the front pocket.,you shouldn't carry pens in your pocket.
"the pants are fine, but the pocket has a huge hole in it.",you shouldn't carry your keys and pens in your pocket.
"i can't quit, because i'm making a good salary.",you shouldn't choose money over happiness.
thank you.,you shouldn't lie in the sun for too long.
okay. i'll feed him right now.,you shouldn't make him wait.
why do you say that?,you speak two languages.
i think it's the ice cream.,you started eating ice cream?
a couple of months ago.,you still miss him.
because you get to meet a lot of people.,you sure do.
that didn't take long.,you think i should quit playing.
i'm going to have to say that superbad is the best movie ever.,"you think so, how come?"
yes. you really deserved this.,you think so?
i hope you kept the receipt.,you think they won't fit?
i think i've put on some weight.,you think?
what are those wipes for?,you use them to wipe the handle of the shopping cart.
i was not looking at her.,"you were, too."
"if i catch you, you'll be sorry.","you won't catch me, because i love you. i'm not a cheater."
"oh, thank you. that's very nice of you.",you would do the same for me.
what do you mean?,you would float into the sky like a balloon.
i never thought about that.,you'd be blind for the rest of your life!
during the christmas holidays.,you'd better buy your ticket now.
i have to go shopping today.,you'd better take an umbrella.
i think i'll buy both of them.,you'd better try them on first.
now you're thinking.,you'd think a library would be safe from thieves.
do you think i'll forget to do it?,"you'll remember to do it, but you won't have time to do it."
i hope i win the lotto.,your chances are very small.
i bet dad did it all the time when he was my age.,your daddy was a good little boy.
i did too.,your day was just like mine.
"good afternoon, officer.","your driver's license and registration, please."
my friend got a ticket for doing 75.,your friend was unlucky.
all the radios will be on extra loud.,your neighbors will hate you.
"no, i just blow my nose a lot.",your nose is stopped up?
it's not orange!,your orange isn't orange?
these are chucks.,your shoes look really nice. how much did you get them for?
i didn't have time to get one from there.,your sleeves are not tissues.
it's not in my wallet.,your wallet is empty?
what's a little blood?,your white shirt is ruined.
teaching is the best part of my whole day.,you're a lucky man to have a job you love.
"they will drop the new steak on the floor, step on it, and then spit on it.",you're crazy.
"well, the waiter looked clean, so i guess it's okay to eat here.",you're forgetting about the bathroom.
i thought you had an elephant in your house.,you're funny.
now it's like riding a bus.,you're jammed in with people all around you.
"without gravity, the water would go up.",you're joking.
i eat the same thing every day.,you're kidding.
i'm joining the army.,you're kidding. you might get killed.
"oh, no. our ashes will be shaken into the ocean.",you're not going to be buried?
i'm going to just hope that the bathroom is clean.,you're not going to examine it before we order dinner?
"well, superbad is super funny.","you're not lying, i found that movie absolutely hilarious."
i'm guessing that she's going to give me my invite today or tomorrow.,"you're probably right, do you intend on going to the party?"
because i'll never find one for such a low price.,you're right about that. keep saving your money.
i'll bet this is the first time you've ever flown during christmas.,you're right.
that means it gets twice as much traffic.,you're right.
"number one, it's too slow.",you're right. a car is faster.
"number five, it's unsafe.",you're right. bad guys might rob you.
"number three, it doesn't run 24 hours.",you're right. buses don't run late at night.
it doesn't look very nice outside today.,you're right. i think it's going to rain later.
"if we don't buy it, someone else will.",you're right. let's buy it now. we can worry later.
but you know that california weather is really unpredictable.,"you're right. one minute it's hot, and then the next minute it's cold."
"honestly, it is one of the funniest movies i've seen in a long time.",you're right. that movie is hilarious.
"number two, it's usually late.",you're right. the buses are never on time.
many shirts come with an extra button.,you're right. this one does have an extra button.
"number four, it's too crowded.",you're right. you have to stand in the aisle.
i'm having fun.,you're sitting there with your mouth open.
"no, i always back up my files.",you're smart.
it's supposed to be unlucky.,you're supposed to stay home all day.
